1666	cars	5166
1667	Sunday	5165
1668	declared	5162
1669	ordered	5160
1670	opposition	5159
1671	Before	5158
1672	cities	5154
1673	Captain	5151
1674	actions	5145
1675	obtained	5145
1676	mentioned	5142
1677	turning	5138
1678	focus	5135
1679	Group	5134
1680	White	5132
1681	calls	5132
1682	CHAPTER	5128
1683	seeing	5127
1684	belief	5125
1685	message	5124
1686	carefully	5123
1687	ordinary	5122
1688	bottom	5116
1689	post	5104
1690	touch	5104
1691	Parliament	5098
1692	signed	5097
1693	observed	5096
1694	Board	5094
1695	minute	5089
1696	double	5088
1697	Edward	5084
1698	grow	5082
1699	possibly	5081
1700	actual	5081
1701	cried	5080
1702	objects	5080
1703	patient	5068
1704	jobs	5066
1705	shares	5057
1706	teacher	5056
1707	purposes	5052
1708	exchange	5052
1709	identified	5051
1710	clothes	5048
